SA1_CODE_2021,F_ID_NS_15_19,F_ID_NS_20_24,F_ID_NS_25_34,F_ID_NS_35_44,F_ID_NS_45_54,F_ID_NS_55_64,F_ID_NS_65_74,F_ID_NS_75_84,F_ID_NS_85ov,F_ID_NS_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Ag_For_Fshg_15_19,P_Ag_For_Fshg_20_24,P_Ag_For_Fshg_25_34,P_Ag_For_Fshg_35_44,P_Ag_For_Fshg_45_54,P_Ag_For_Fshg_55_64,P_Ag_For_Fshg_65_74,P_Ag_For_Fshg_75_84,P_Ag_For_Fshg_85ov,P_Ag_For_Fshg_Tot,P_Mining_15_19,P_Mining_20_24,P_Mining_25_34,P_Mining_35_44,P_Mining_45_54,P_Mining_55_64,P_Mining_65_74,P_Mining_75_84,P_Mining_85ov,P_Mining_Tot,P_Manufact_15_19,P_Manufact_20_24,P_Manufact_25_34,P_Manufact_35_44,P_Manufact_45_54,P_Manufact_55_64,P_Manufact_65_74,P_Manufact_75_84,P_Manufact_85ov,P_Manufact_Tot,P_El_Gas_Wt_Waste_15_19,P_El_Gas_Wt_Waste_20_24,P_El_Gas_Wt_Waste_25_34,P_El_Gas_Wt_Waste_35_44,P_El_Gas_Wt_Waste_45_54,P_El_Gas_Wt_Waste_55_64,P_El_Gas_Wt_Waste_65_74,P_El_Gas_Wt_Waste_75_84,P_El_Gas_Wt_Waste_85ov,P_El_Gas_Wt_Waste_Tot,P_Constru_15_19,P_Constru_20_24,P_Constru_25_34,P_Constru_35_44,P_Constru_45_54,P_Constru_55_64,P_Constru_65_74,P_Constru_75_84,P_Constru_85ov,P_Constru_Tot,P_WhlesaleTde_15_19,P_WhlesaleTde_20_24,P_WhlesaleTde_25_34,P_WhlesaleTde_35_44,P_WhlesaleTde_45_54,P_WhlesaleTde_55_64,P_WhlesaleTde_65_74,P_WhlesaleTde_75_84,P_WhlesaleTde_85ov,P_WhlesaleTde_Tot,P_RetTde_15_19,P_RetTde_20_24,P_RetTde_25_34,P_RetTde_35_44,P_RetTde_45_54,P_RetTde_55_64,P_RetTde_65_74,P_RetTde_75_84,P_RetTde_85ov,P_RetTde_Tot,P_Accom_food_15_19,P_Accom_food_20_24,P_Accom_food_25_34,P_Accom_food_35_44,P_Accom_food_45_54,P_Accom_food_55_64,P_Accom_food_65_74,P_Accom_food_75_84,P_Accom_food_85ov,P_Accom_food_Tot,P_Trans_post_wrehsg_15_19,P_Trans_post_wrehsg_20_24,P_Trans_post_wrehsg_25_34,P_Trans_post_wrehsg_35_44,P_Trans_post_wrehsg_45_54,P_Trans_post_wrehsg_55_64,P_Trans_post_wrehsg_65_74,P_Trans_post_wrehsg_75_84,P_Trans_post_wrehsg_85ov,P_Trans_post_wrehsg_Tot,P_Info_media_teleco_15_19,P_Info_media_teleco_20_24,P_Info_media_teleco_25_34,P_Info_media_teleco_35_44,P_Info_media_teleco_45_54,P_Info_media_teleco_55_64,P_Info_media_teleco_65_74,P_Info_media_teleco_75_84,P_Info_media_teleco_85ov,P_Info_media_teleco_Tot,P_Fin_Insur_15_19,P_Fin_Insur_20_24,P_Fin_Insur_25_34,P_Fin_Insur_35_44,P_Fin_Insur_45_54,P_Fin_Insur_55_64,P_Fin_Insur_65_74,P_Fin_Insur_75_84,P_Fin_Insur_85ov,P_Fin_Insur_Tot,P_RtnHir_REst_15_19,P_RtnHir_REst_20_24,P_RtnHir_REst_25_34,P_RtnHir_REst_35_44,P_RtnHir_REst_45_54,P_RtnHir_REst_55_64,P_RtnHir_REst_65_74,P_RtnHir_REst_75_84,P_RtnHir_REst_85ov,P_RtnHir_REst_Tot,P_Pro_scien_tec_15_19,P_Pro_scien_tec_20_24,P_Pro_scien_tec_25_34,P_Pro_scien_tec_35_44,P_Pro_scien_tec_45_54,P_Pro_scien_tec_55_64,P_Pro_scien_tec_65_74,P_Pro_scien_tec_75_84,P_Pro_scien_tec_85ov,P_Pro_scien_tec_Tot,P_Admin_supp_15_19,P_Admin_supp_20_24,P_Admin_supp_25_34,P_Admin_supp_35_44,P_Admin_supp_45_54,P_Admin_supp_55_64,P_Admin_supp_65_74,P_Admin_supp_75_84,P_Admin_supp_85ov,P_Admin_supp_Tot,P_Public_admin_sfty_15_19,P_Public_admin_sfty_20_24,P_Public_admin_sfty_25_34,P_Public_admin_sfty_35_44,P_Public_admin_sfty_45_54,P_Public_admin_sfty_55_64,P_Public_admin_sfty_65_74,P_Public_admin_sfty_75_84,P_Public_admin_sfty_85ov,P_Public_admin_sfty_Tot,P_Educ_trng_15_19,P_Educ_trng_20_24,P_Educ_trng_25_34,P_Educ_trng_35_44,P_Educ_trng_45_54,P_Educ_trng_55_64,P_Educ_trng_65_74,P_Educ_trng_75_84,P_Educ_trng_85ov,P_Educ_trng_Tot,P_HlthCare_SocAs_15_19,P_HlthCare_SocAs_20_24,P_HlthCare_SocAs_25_34,P_HlthCare_SocAs_35_44,P_HlthCare_SocAs_45_54,P_HlthCare_SocAs_55_64,P_HlthCare_SocAs_65_74,P_HlthCare_SocAs_75_84,P_HlthCare_SocAs_85ov,P_HlthCare_SocAs_Tot,P_Art_recn_15_19,P_Art_recn_20_24,P_Art_recn_25_34,P_Art_recn_35_44,P_Art_recn_45_54,P_Art_recn_55_64,P_Art_recn_65_74,P_Art_recn_75_84,P_Art_recn_85ov,P_Art_recn_Tot
20202102724,0,0,6,0,0,0,0,0,0,8,5,0,7,24,16,15,5,0,0,79,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,4,0,0,16,0,0,0,4,0,0,0,0,0,4,0,0,4,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,5,0,0,0,14,0,0,0,3,3,0,0,0,0,12,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,9,0,0,0,0,0,6,0,0,0,5,0,0,0,0,0,4,0,0,5,9,3,6,0,0,0,20,0,0,4,4,11,5,3,0,0,24,0,0,0,3,3,3,4,0,0,21,0,0,0,3,0,0,0,0,0,7
20202102725,0,0,0,0,0,0,0,0,0,5,0,3,10,15,22,22,9,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,4,0,3,4,0,0,5,0,0,17,7,0,5,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,4,7,4,4,0,0,21,0,0,0,0,0,0,0,0,0,4,0,0,4,8,3,10,0,0,0,17,0,0,0,3,8,4,3,0,0,14,0,3,4,8,3,13,0,0,0,34,0,0,0,0,0,0,0,0,0,9
20202102726,0,0,0,0,0,0,0,0,0,0,10,3,4,19,24,13,7,0,0,90,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,3,0,4,9,5,4,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,4,3,4,5,4,0,0,0,21,0,0,0,0,0,0,0,0,0,0,10,3,0,5,9,6,0,0,0,28,7,0,0,0,3,0,0,0,0,12,0,0,0,0,0,0,4,0,0,8,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,6,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,0,0,0,15,0,0,0,4,5,3,0,0,0,11,0,3,0,5,15,11,0,0,0,28,0,0,0,0,0,0,0,0,0,0
20202102727,0,0,0,0,0,0,0,0,0,5,5,0,19,25,23,13,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,5,3,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,4,3,4,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,10,0,0,8,8,0,0,0,0,0,14,0,0,0,0,0,6,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,4,0,0,4,3,4,4,0,0,0,16,0,0,0,0,3,4,0,0,0,10,0,0,7,0,3,0,0,0,0,15,0,0,0,6,8,3,0,0,0,17,0,0,0,7,3,9,0,0,0,25,0,0,0,3,4,6,0,0,0,8
20202102801,0,0,0,0,0,0,0,0,0,0,4,7,9,14,19,6,3,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,4,0,0,0,17,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,11,0,0,0,0,0,0,0,0,0,5,7,3,0,0,3,0,0,0,0,13,0,0,3,0,0,0,0,0,0,9,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,7,0,0,0,0,3,0,5,0,0,11,0,0,3,8,6,3,0,0,0,19,0,0,0,0,3,0,0,0,0,0
20202102802,0,0,0,0,0,0,0,0,0,3,8,4,19,28,35,21,11,0,0,126,0,0,8,0,0,4,5,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,7,3,3,5,0,0,0,26,0,0,0,0,0,0,0,0,0,4,0,3,6,3,12,4,0,0,0,24,0,0,0,0,0,5,4,0,0,7,8,4,4,3,3,10,4,0,0,34,0,0,0,0,5,0,0,0,0,5,0,5,3,0,0,4,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,11,4,4,6,0,0,23,0,0,0,4,3,3,0,0,0,11,0,0,0,6,0,3,0,0,0,14,0,0,0,10,10,4,5,0,0,25,0,0,6,9,7,9,9,0,0,41,0,0,0,0,3,0,0,0,0,10
20202102803,0,0,0,0,0,0,0,0,0,4,0,0,8,3,22,19,3,3,0,74,0,0,4,8,10,9,10,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,8,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,11,3,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,4,0,0,0,4,7,4,0,0,0,8,0,0,7,0,6,7,0,0,0,22,0,0,0,0,4,0,0,0,0,4
20202102804,0,0,0,0,4,0,0,0,0,9,0,7,9,6,21,22,9,0,0,75,0,0,0,0,0,3,0,0,0,9,0,0,0,0,0,3,0,0,0,3,0,4,0,5,0,5,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,6,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,11,0,0,4,0,4,0,0,0,0,4,0,0,0,0,0,4,0,0,0,9,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,4,0,0,0,0,5,0,0,0,0,3,0,0,0,0,10,7,0,0,0,15,0,0,3,0,6,8,0,0,0,14,0,0,5,0,5,17,0,0,0,26,0,0,0,0,0,0,0,0,0,0
20202102805,0,0,0,0,0,0,0,0,0,0,5,6,13,10,25,22,5,3,0,84,3,0,0,6,0,11,6,10,0,30,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,3,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,4,3,0,4,4,0,0,0,20,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,3,0,0,9,0,0,0,0,5,4,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,4,3,0,0,11,0,0,0,0,3,4,0,0,0,6,0,0,4,0,3,5,0,0,0,15,0,0,0,0,7,5,3,0,0,15,0,0,7,0,8,11,0,0,0,25,0,0,0,4,0,0,0,0,0,7
20202102806,0,0,0,0,3,0,0,0,0,3,4,3,10,6,18,8,3,0,0,61,0,0,0,0,3,4,7,0,3,25,0,0,3,0,5,0,0,0,0,4,5,0,0,3,6,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,10,5,0,0,0,6,3,0,0,0,9,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,5,0,0,0,0,4,3,0,0,0,7,0,0,0,0,0,4,0,0,0,7,0,0,0,3,4,0,0,0,0,10,0,0,4,3,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0
20202102807,0,0,0,0,0,0,0,0,0,0,3,0,13,17,16,25,7,0,0,96,0,0,0,4,3,11,4,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,5,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,7,3,4,8,0,0,0,23,0,0,0,0,0,0,3,0,0,7,5,0,4,0,5,4,0,0,0,16,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,8,0,0,0,3,7,3,4,0,0,12,0,0,3,10,8,12,3,0,0,39,0,0,0,0,0,0,0,0,0,9
20202102808,0,0,0,0,0,0,0,0,0,5,6,11,23,18,29,28,7,0,0,112,0,0,0,7,3,5,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,5,7,6,4,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,8,5,5,3,0,0,0,23,0,0,0,0,0,0,0,0,0,0,6,0,6,3,0,3,0,0,0,16,0,0,0,0,0,0,0,0,0,6,0,0,0,0,3,3,0,0,0,11,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,5,0,0,3,0,5,8,4,0,0,17,0,0,4,0,8,0,0,0,0,16,0,0,6,4,6,3,0,0,0,17,0,0,0,8,10,7,0,0,0,22,0,6,9,6,10,16,6,0,0,44,0,0,0,0,0,0,0,0,0,3
20202102809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,4,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,6,0,0,3,0,0,5,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,0,0,11,0,0,0,0,0,0,0,0,0,0
20202102810,0,0,0,0,0,0,0,0,0,3,0,0,8,11,26,26,6,0,0,78,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,3,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,9,4,3,0,0,3,4,0,0,0,14,0,0,0,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,4,0,0,0,0,3,0,0,0,0,6,0,0,0,4,10,7,4,0,0,25,0,0,0,0,0,3,3,0,0,9,0,0,0,0,0,3,0,0,0,6,0,0,3,0,3,6,0,0,0,9,0,0,9,0,7,10,0,0,0,26,0,0,4,0,0,3,0,0,0,8
20202102811,0,0,0,0,0,0,0,0,0,4,8,3,7,11,24,23,9,0,0,72,0,0,3,4,5,9,3,0,0,27,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,10,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0,5,0,0,0,5,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,11,0,0,0,0,9,5,7,0,0,16,0,0,3,3,4,5,3,0,0,19,0,0,0,0,0,0,0,0,0,6
20202102812,0,0,0,0,0,0,0,0,0,4,9,0,10,3,10,12,5,0,0,46,0,0,0,4,5,5,3,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,4,0,0,0,8,0,0,0,0,0,4,0,0,0,6,4,0,3,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,4,4,0,0,0,7,0,0,0,9,3,3,0,0,0,20,0,0,0,0,0,0,0,0,0,3
20202102813,0,0,0,0,0,0,0,0,0,0,3,5,11,17,27,16,5,0,0,85,0,0,4,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,3,0,3,3,4,4,3,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,0,0,0,0,19,0,0,0,0,0,0,3,0,0,0,3,0,3,0,0,5,5,0,0,14,6,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,6,0,0,0,7,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,3,9,0,5,0,0,19,0,0,4,0,0,0,0,0,0,6,0,0,3,0,3,0,0,0,0,9,0,0,4,8,0,4,0,0,0,12,0,0,0,0,7,8,0,0,0,21,0,0,0,5,0,0,0,0,0,6
20202102814,0,0,0,0,0,4,0,0,0,9,4,0,10,28,26,24,3,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,6,8,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,4,0,0,11,0,0,0,0,0,0,0,0,0,3,3,0,0,5,7,5,0,0,0,15,3,0,0,0,4,0,0,0,0,10,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,5,0,0,0,16,0,0,0,5,0,0,0,0,0,4,0,0,3,0,3,4,0,0,0,10,0,0,3,7,9,3,0,0,0,26,0,0,5,6,12,11,0,0,0,27,0,0,0,0,4,0,0,0,0,9
20202102815,0,0,0,0,0,0,0,0,0,0,10,9,8,25,36,25,13,0,0,115,0,0,6,0,0,6,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,4,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,3,8,7,8,5,0,0,30,0,0,0,4,3,0,0,0,0,3,9,0,5,3,5,3,0,0,0,23,3,3,0,7,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,3,0,0,0,3,5,6,5,4,0,20,0,0,0,0,5,0,0,0,0,8,0,0,0,4,3,3,4,0,0,11,0,0,0,0,12,4,0,0,0,23,0,3,3,7,12,15,4,0,0,39,0,0,0,0,0,0,0,0,0,3
20202102816,0,0,0,0,0,0,0,0,0,0,0,0,13,16,31,19,9,0,0,96,0,0,0,6,5,9,4,0,0,21,0,0,0,0,0,0,0,0,0,3,0,0,0,4,5,7,0,0,0,21,0,0,0,0,4,0,0,0,0,4,0,0,9,3,3,5,0,0,0,21,0,0,0,0,5,0,0,0,0,3,5,0,0,0,0,0,0,0,0,8,0,0,5,0,0,0,0,0,0,7,0,0,0,0,0,3,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,12,0,0,0,0,0,0,0,0,0,3,0,0,4,9,5,0,0,0,0,18,0,0,0,4,3,0,0,0,0,12,0,0,0,8,5,8,0,0,0,25,0,0,0,0,5,0,0,0,0,3
20202102817,0,0,0,0,0,0,0,0,0,0,4,3,12,16,15,28,8,0,0,74,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,3,0,0,3,0,0,4,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,4,0,0,0,17,0,0,0,0,0,4,0,0,0,7,0,0,0,3,0,7,5,0,0,13,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,4,3,0,0,9,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,0,0,0,8,0,0,4,3,4,3,6,0,0,23,0,0,3,3,7,9,0,0,0,28,0,0,0,0,0,0,0,0,0,0
20202102818,0,0,0,0,0,0,0,0,0,0,5,3,5,12,10,19,6,0,0,71,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,4,4,0,3,0,3,3,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,3,0,10,3,5,3,0,0,17,7,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,0,0,0,3,0,0,0,0,0,8,0,0,0,4,5,6,0,0,0,14,0,0,0,0,3,5,0,0,0,10,0,0,4,5,9,3,0,0,0,21,0,0,0,0,0,0,0,0,0,0
20202102819,0,0,0,0,0,0,0,0,0,0,3,6,3,11,12,7,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,12,0,3,0,0,0,0,0,0,0,5,0,0,0,0,3,6,0,0,0,12,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,6,0,0,0,10,0,0,0,5,5,4,0,0,0,12,0,0,3,4,9,8,0,0,0,20,0,0,0,0,0,0,0,0,0,0
20202102820,0,0,0,0,0,0,0,0,0,4,7,3,5,7,24,26,11,0,0,79,0,0,0,0,0,6,0,0,0,6,0,0,0,4,0,0,0,0,0,0,0,0,5,0,3,7,0,0,0,23,0,0,0,0,3,0,0,0,0,3,0,0,0,0,9,6,0,0,0,16,0,0,0,0,3,0,0,0,0,0,5,0,0,0,3,3,0,0,0,19,7,0,0,4,0,0,4,0,0,17,0,0,0,0,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,5,0,0,0,0,0,6,0,0,0,5,0,0,0,4,4,6,0,0,0,10,0,0,0,0,0,4,3,0,0,14,0,0,3,4,3,6,4,0,0,19,0,0,0,0,5,0,0,0,0,8
20202102821,0,0,0,0,0,0,0,0,0,4,0,0,0,12,14,14,5,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,5,3,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,5,0,0,0,0,5,0,0,0,0,11,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,4,5,3,0,0,0,13,0,0,0,0,4,0,0,0,0,6
20202102822,0,0,0,0,0,0,0,0,0,0,3,3,5,19,11,15,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,3,5,4,0,0,0,0,10,4,0,0,0,0,0,0,0,0,4,0,0,0,3,6,4,0,0,0,13,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,7,0,0,0,7,0,3,0,0,0,17,0,0,0,0,0,0,0,0,0,5
20202102823,0,0,0,0,0,0,0,0,0,3,7,8,15,18,23,28,5,0,0,98,0,0,0,0,0,5,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,4,0,0,0,17,0,0,0,0,0,0,0,0,0,4,6,0,0,0,4,0,6,0,0,11,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,3,0,0,11,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,3,3,0,0,9,0,0,0,0,0,0,0,0,0,7,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,7,0,0,0,14,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,6,0,0,0,17,0,0,0,5,9,11,6,0,0,25,0,0,5,4,9,8,0,0,0,31,0,0,0,0,3,0,0,0,0,0
